[2024-01-06 12:34:23] Oakville: 0.88°C, 1013hPa, humidity 72%, overcast clouds
[2024-01-06 12:49:57] Oakville: 0.89°C, 1013hPa, humidity 73%, overcast clouds
[2024-01-06 12:59:38] Oakville: 0.99°C, 1013hPa, humidity 72%, overcast clouds
[2024-01-06 13:09:40] Oakville: 1.02°C, 1012hPa, humidity 73%, overcast clouds
[2024-01-06 13:16:44] Oakville: 1.06°C, 1011hPa, humidity 72%, overcast clouds
[2024-01-06 13:26:45] Oakville: 1.42°C, 1011hPa, humidity 73%, overcast clouds
[2024-01-06 13:36:46] Oakville: 1.43°C, 1011hPa, humidity 72%, overcast clouds
[2024-01-06 13:46:48] Oakville: 1.46°C, 1011hPa, humidity 73%, overcast clouds
[2024-01-06 13:56:49] Oakville: 1.46°C, 1011hPa, humidity 74%, overcast clouds
[2024-01-06 14:00:16] Oakville: 1.4°C, 1011hPa, humidity 74%, overcast clouds
[2024-01-06 14:10:17] Oakville: 1.32°C, 1011hPa, humidity 74%, overcast clouds
[2024-01-06 14:20:18] Oakville: 1.3°C, 1010hPa, humidity 73%, overcast clouds
[2024-01-06 14:30:20] Oakville: 1.32°C, 1010hPa, humidity 72%, overcast clouds
[2024-01-06 14:40:22] Oakville: 1.32°C, 1010hPa, humidity 73%, overcast clouds
[2024-01-06 14:50:23] Oakville: 1.28°C, 1010hPa, humidity 72%, overcast clouds
[2024-01-06 15:00:17] Oakville: 1.3°C, 1010hPa, humidity 71%, overcast clouds
[2024-01-06 15:10:24] Oakville: 1.31°C, 1010hPa, humidity 72%, overcast clouds
